"player_name","player_api_id","overall_rating","gk_attr_total","games_played","leagues_played"
"Kris Commons",23574,75,152,120,1
"Scott Dobie",23575,64,120,1,1
"James Perch",23579,71,139,41,1
"Felix Bastians",23587,75,133,96,2
"Bradley Orr",23593,67,145,12,1
"Dean Windass",23605,66,129,1,1
"Pierre Wome",23628,78,46,29,1
"Andrew Surman",23629,73,151,66,1
"Jim Goodwin",23660,66,99,149,1
"Marcio Mossoro",23675,78,140,87,1
"Alex Song",23678,83,142,174,2
"Manuel Almunia",23686,81,403,69,1
"Mathieu Flamini",23688,82,149,110,2
"Calvin Zola Makongo",23692,63,120,11,1
"Carl Tremarco",23697,61,98,57,1
"William Haining",23720,64,103,17,1
"Chris Killen",23724,73,116,2,1
"Marc Tierney",23727,68,107,18,1
"Chris Porter",23728,72,114,21,1
"Chris Swailes",23729,60,111,22,1
"Matthew Connolly",23732,70,129,8,1
"Keith Southern",23736,68,139,11,1
"Scott Vernon",23740,69,108,106,1
"Joe Cardle",23755,63,50,35,1
"David Bentley",23760,83,163,41,1
"Patrick Cregg",23765,70,109,76,1
"Graham Stack",23772,67,333,56,1
"Quincy Owusu-Abeyie",23779,75,112,23,3
"Aaron Hughes",23780,78,129,162,1
"Eric Djemba-Djemba",23781,74,126,2,1
"Gareth Barry",23782,84,165,258,1
"Gary Cahill",23783,83,129,233,1
"Gavin McCann",23784,76,148,35,1
"Jlloyd Samuel",23785,71,119,50,1
"Liam Ridgewell",23787,76,134,140,1
